GID_2,NAME_2
BRA.7.1_1,Brasília
BRA.9.2_1,Abadiânia
BRA.9.5_1,Água Fria de Goiás
BRA.9.7_1,Águas Lindas de Goiás
BRA.9.8_1,Alexania
BRA.9.12_1,Alto Paraíso de Goiás
BRA.9.13_1,Alvorada do Norte
BRA.9.33_1,Barro Alto
BRA.9.43_1,Cabeceiras
BRA.9.61_1,Cavalcante
BRA.9.65_1,Cidade Ocidental
BRA.9.66_1,Cocalzinho de Goiás
BRA.9.69_1,Corumbá de Goiás
BRA.9.71_1,Cristalina
BRA.9.87_1,Flores de Goiás
BRA.9.88_1,Formosa
BRA.9.92_1,Goianésia
BRA.9.131_1,Luziânia
BRA.9.139_1,Mimoso de Goiás
BRA.9.155_1,Niquelândia
BRA.9.164_1,Novo Gama
BRA.9.169_1,Padre Bernardo
BRA.9.181_1,Pirenópolis
BRA.9.183_1,Planaltina
BRA.9.209_1,Santo Antônio do Descoberto
BRA.9.212_1,São João d'Aliança
BRA.9.223_1,Simolândia
BRA.9.237_1,Valparaíso de Goiás
BRA.9.241_1,Vila Boa
BRA.9.242_1,Vila Propício
BRA.13.49_1,Arinos
BRA.13.100_1,Buritis
BRA.13.102_1,Cabeceira Grande
BRA.13.829_1,Unaí
